record_type,event_id,event_name,generated_at,scheduled_date,tour,surface,best_of,fav_player_id,fav_name,fav_final_win_pct,fav_sim_win_pct,fav_elo_win_pct,fav_elo_rank,fav_elo_percentile,fav_serve_percentile,fav_return_percentile,fav_low_sample,fav_proj_games_won,fav_proj_games_lost,fav_proj_aces,fav_proj_dfs,fav_proj_1stIn_pct,fav_proj_1stWon_pct,fav_proj_2ndWon_pct,fav_proj_ret_won_pct,fav_proj_bp_faced,fav_proj_bp_saved,fav_ml_odds,fav_ml_book,fav_chart_elo_overall_pctile,fav_chart_elo_overall_rank,fav_chart_elo_overall_rank_qualified,fav_chart_elo_surface_rank,fav_chart_elo_surface_rank_qualified,tour_pool_size,fav_chart_elo_surface_pctile,fav_chart_svc_games_won_pctile,fav_chart_ret_games_won_pctile,fav_chart_aces_per_match_pctile,fav_chart_dfs_per_match_pctile,fav_chart_1st_serve_won_pctile,fav_chart_2nd_serve_won_pctile,fav_chart_bp_saved_pctile,fav_chart_sample_svpt,dog_player_id,dog_name,dog_final_win_pct,dog_sim_win_pct,dog_elo_win_pct,dog_elo_rank,dog_elo_percentile,dog_serve_percentile,dog_return_percentile,dog_low_sample,dog_proj_games_won,dog_proj_games_lost,dog_proj_aces,dog_proj_dfs,dog_proj_1stIn_pct,dog_proj_1stWon_pct,dog_proj_2ndWon_pct,dog_proj_ret_won_pct,dog_proj_bp_faced,dog_proj_bp_saved,dog_ml_odds,dog_ml_book,dog_chart_elo_overall_pctile,dog_chart_elo_overall_rank,dog_chart_elo_overall_rank_qualified,dog_chart_elo_surface_rank,dog_chart_elo_surface_rank_qualified,dog_chart_elo_surface_pctile,dog_chart_svc_games_won_pctile,dog_chart_ret_games_won_pctile,dog_chart_aces_per_match_pctile,dog_chart_dfs_per_match_pctile,dog_chart_1st_serve_won_pctile,dog_chart_2nd_serve_won_pctile,dog_chart_bp_saved_pctile,dog_chart_sample_svpt,proj_total_games,proj_total_games_raw,market_total_line,market_total_over_odds,market_total_under_odds,market_spread_line,market_spread_fav_odds,market_spread_dog_odds,hard_low_sample_flag,market,pick_side,pick_odds,pick_book,fav_odds,fav_model_prob,fav_market_prob,dog_odds,dog_model_prob,dog_market_prob,line,edge,grade,meets_threshold
MATCH,236721440,"ATP Cincinnati, USA  - Round Of 128","Aug 14, 2026 6:01 PM ET",2026-08-15T00:10:00Z,ATP,Hard,3.0,78021.0,Karen Khachanov,0.6436,0.6073592380806063,0.5936,46.0,90.9,90.9,46.9,False,14.71,13.44,7.55,1.86,0.6482,0.76,0.5084,0.3409,2.428,1.841,-248.0,Skybet,91.1,45.0,True,50.0,True,497.0,90.1,90.1,46.9,84.5,80.3,90.9,62.6,53.4,4095.0,77770.0,Aleksandar Kovacevic,0.3564,0.3926407619193937,0.4064,121.0,75.9,91.8,17.3,False,13.44,14.71,10.18,3.21,0.6232,0.7617,0.5028,0.3088,3.749,2.689,198.0,BetanoBR,74.4,128.0,True,100.0,True,80.1,85.9,17.3,94.8,37.1,91.8,56.7,82.9,5064.0,24.87,26.25,23.5,-101.0,-136.5,2.5,-140.0,100.0,False,,,,,,,,,,,,,,
BESTBET,236721440,,,,,,,,Karen Khachanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandar Kovacevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Aleksandar Kovacevic,198.0,DraftKings,-248.0,0.6436119122401854,0.6798645863997645,198.0,0.35638808775981456,0.3201354136002355,,0.01977418590522497,D,False
BESTBET,236721440,,,,,,,,Karen Khachanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleksandar Kovacevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Aleksandar Kovacevic +2.5,104.0,DraftKings,-150.0,0.4047,0.5503597122302158,104.0,0.5952999999999999,0.44964028776978415,2.5,0.03236882494004798,C,False
BESTBET,236721440,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 23.5,-100.0,DraftKings,-100.0,0.5967,0.46153846153846145,-140.0,0.4033,0.5384615384615385,23.5,0.023506354515050183,D,False
MATCH,236721480,"ATP Cincinnati, USA  - Round Of 128","Aug 14, 2026 6:01 PM ET",2026-08-14T21:50:00Z,ATP,Hard,3.0,79732.0,Marin Cilic,0.5083,0.567169578738786,0.5612,53.0,89.5,98.4,28.6,False,13.743,12.887,10.53,3.21,0.5958,0.797,0.4971,0.3246,4.461,3.106,112.0,BetanoBR,88.5,58.0,True,45.0,True,497.0,91.1,93.0,28.6,96.4,36.6,98.4,54.4,71.6,3753.0,186228.0,Daniel Merida,0.4917,0.43283042126121396,0.4388,76.0,84.9,42.7,82.3,False,12.887,13.743,4.49,2.94,0.6603,0.676,0.4812,0.3736,5.262,3.536,-137.0,DraftKings,84.3,79.0,True,73.0,True,85.5,45.5,82.3,45.3,46.6,42.7,41.8,17.9,1926.0,23.01,24.53,21.5,-200.0,135.0,1.5,117.5,-187.5,False,,,,,,,,,,,,,,
BESTBET,236721480,,,,,,,,Marin Cilic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Merida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Marin Cilic,112.0,FanDuel,112.0,0.5082548940258469,0.44934020931290763,-137.0,0.4917451059741531,0.5506597906870925,,0.03213528257069414,C,False
BESTBET,236721480,,,,,,,,Marin Cilic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Merida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Marin Cilic -1.5,117.5,DraftKings,117.5,0.5162,0.4134831460674157,-187.5,0.4838,0.5865168539325842,1.5,0.022825967540574296,D,False
BESTBET,236721480,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Under 21.5,135.0,DraftKings,-200.0,0.5715,0.6103896103896104,135.0,0.4285,0.38961038961038963,21.5,0.006763410502540932,D,False
MATCH,236738030,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T18:30:00Z,WTA,Hard,3.0,77915.0,Maria Sakkari,0.6516,0.6613924599548053,0.6504,26.0,95.7,49.0,83.1,False,13.013,10.463,2.68,2.33,0.662,0.5975,0.5022,0.4451,10.407,5.511,-222.0,BetanoBR,95.1,30.0,True,25.0,True,588.0,95.9,75.7,83.1,63.7,85.0,49.0,89.1,17.0,3349.0,80558.0,Kamilla Rakhimova,0.3484,0.33860754004519467,0.3496,83.0,86.1,54.7,72.7,False,10.463,13.013,2.02,5.49,0.633,0.6046,0.4388,0.4335,12.033,5.893,160.0,Caesars,85.9,84.0,True,81.0,True,86.4,52.5,72.7,48.0,15.9,54.7,55.9,27.4,3993.0,21.93,22.35,21.5,-115.0,-125.0,3.5,-120.0,-115.0,False,,,,,,,,,,,,,,
BESTBET,236738030,,,,,,,,Maria Sakkari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamilla Rakhimova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Maria Sakkari,-222.0,Caesars,-222.0,0.6516481872727763,0.6419039145907472,160.0,0.3483518127272237,0.3580960854092527,,0.005315057826561296,D,False
