event_id,event_name,scheduled_date,tour,player_id,player_name,surface,best_of,elo_win_pct,sim_win_pct,raw_sim_win_pct,elo_rank,elo_percentile,elo_overall_percentile,elo_surface_percentile,serve_percentile,return_percentile,low_sample_flag,proj_games_won,proj_games_lost,proj_sets_won,proj_sets_lost,proj_svpt,proj_aces,proj_dfs,proj_1stIn_pct,proj_1stWon_pct,proj_2ndWon_pct,proj_ret_won_pct,proj_bp_faced,proj_bp_saved,proj_total_games
236870520,US Open  - Round Of 32,2026-09-05T20:00:00Z,ATP,265685,Arthur Gea,Hard,5,0.4523,0.45039971762518727,0.4397,110,78.3,76.9,82.3,71.2,94.5,False,20.539,21.314,1.928,2.197,130.325,8.3,6.57,0.6159,0.7209,0.5164,0.4015,11.937,7.412,41.854
236870520,US Open  - Round Of 32,2026-09-05T20:00:00Z,ATP,285585,Michael Zheng,Hard,5,0.5477,0.5496002823748127,0.5603,84,83.5,82.9,85.9,67.3,90.6,False,21.314,20.539,2.197,1.928,129.363,7.98,3.71,0.6179,0.7136,0.482,0.3929,11.331,7.159,41.854
236870530,US Open  - Round Of 32,2026-09-05T20:30:00Z,ATP,77749,Botic Van de Zandschulp,Hard,5,0.6555,0.6764139166853895,0.795,34,93.4,93.2,93.4,92.6,71.9,False,22.722,19.27,2.653,1.309,118.053,12.47,6.79,0.6209,0.7653,0.4763,0.3639,6.237,4.431,41.992
236870530,US Open  - Round Of 32,2026-09-05T20:30:00Z,ATP,78678,Zizou Bergs,Hard,5,0.3445,0.3235860833146105,0.205,55,89.2,89.6,87.5,74.1,53.8,False,19.27,22.722,1.309,2.653,125.039,12.36,7.03,0.5843,0.7247,0.5125,0.3483,9.583,6.253,41.992
236870540,US Open  - Round Of 32,2026-09-06T00:10:00Z,ATP,185140,Jakub Mensik,Hard,5,0.4604,0.45615739572695807,0.4321,24,95.4,95.2,96.0,97.8,77.5,False,21.268,22.04,1.907,2.203,128.495,18.37,6.62,0.61,0.7886,0.4744,0.3697,9.42,6.243,43.309
236870540,US Open  - Round Of 32,2026-09-06T00:10:00Z,ATP,243549,Learner Tien,Hard,5,0.5396,0.543842604273042,0.5679,22,95.8,95.0,96.8,63.7,88.1,False,22.04,21.268,2.203,1.907,127.187,9.04,5.75,0.6346,0.71,0.5259,0.3854,8.645,5.815,43.309
236871010,US Open  - Round Of 32,2026-09-06T00:10:00Z,ATP,77023,Alexander Zverev,Hard,5,0.8497,0.8709785369552685,0.9917,3,99.6,99.6,99.4,91.6,53.8,False,20.956,14.993,2.987,0.35,85.873,10.61,2.03,0.7265,0.7624,0.5492,0.3483,1.202,0.988,35.949
236871010,US Open  - Round Of 32,2026-09-06T00:10:00Z,ATP,82163,Alejandro Tabilo,Hard,5,0.1503,0.1290214630447315,0.0083,35,93.2,92.8,93.6,85.9,36.5,False,14.993,20.956,0.35,2.987,105.069,10.1,2.45,0.6713,0.7482,0.5232,0.3336,7.806,5.159,35.949
236875420,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,78022,Stefanos Tsitsipas,Hard,5,0.259,0.23248368653639928,0.0824,21,96.0,96.0,95.2,91.8,53.1,False,18.558,22.894,0.843,2.867,116.632,12.12,4.73,0.5972,0.7628,0.5116,0.3479,7.117,4.887,41.452
236875420,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,165387,Ben Shelton,Hard,5,0.741,0.7675163134636007,0.9176,7,98.8,98.6,99.0,91.2,29.9,False,22.894,18.558,2.867,0.843,103.396,11.73,3.23,0.6903,0.7618,0.5653,0.326,2.506,1.976,41.452
236874670,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,77478,Tomas Martin Etcheverry,Hard,5,0.3181,0.29838371429114807,0.1864,42,91.8,92.2,90.8,80.5,59.8,False,19.527,22.972,1.248,2.682,123.547,12.69,2.53,0.6574,0.74,0.5388,0.3527,8.598,5.759,42.5
236874670,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,258729,Alex Michelsen,Hard,5,0.6819,0.7016162857088519,0.8136,25,95.2,94.8,96.6,73.9,68.1,False,22.972,19.527,2.682,1.248,115.679,9.37,3.52,0.6637,0.7245,0.5267,0.3604,5.124,3.742,42.5
236874660,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,76988,Daniil Medvedev,Hard,5,0.4906,0.4973560104215352,0.5359,9,98.4,97.8,98.4,84.7,96.4,False,21.881,21.507,2.14,1.985,128.276,14.15,7.08,0.6565,0.7457,0.5016,0.4076,9.056,6.043,43.388
236874660,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,77904,Frances Tiafoe,Hard,5,0.5094,0.5026439895784648,0.4641,8,98.6,98.8,98.6,80.1,67.8,False,21.507,21.881,1.985,2.14,128.95,10.26,3.24,0.5983,0.7396,0.5307,0.3602,9.437,6.265,43.388
236874620,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,77001,Tommy Paul,Hard,5,0.0941,0.08101562406293417,0.0068,10,98.2,98.4,98.0,87.1,81.9,False,12.153,19.971,0.302,2.99,101.696,8.31,2.19,0.6234,0.7506,0.5541,0.3765,10.543,6.268,32.124
236874620,US Open  - Round Of 16,2026-09-06T15:00:00Z,ATP,87163,Carlos Alcaraz,Hard,5,0.9059,0.9189843759370658,0.9932,2,99.8,99.8,99.8,83.9,96.8,False,19.971,12.153,2.99,0.302,85.435,5.8,2.14,0.6744,0.7447,0.5652,0.408,2.808,2.137,32.124
236871040,US Open  - Round Of 32,2026-09-05T21:40:00Z,WTA,80383,Elena Rybakina,Hard,3,0.8575,0.8696049400015667,0.9382,2,99.8,99.3,99.8,99.1,67.7,False,13.126,7.541,1.915,0.344,65.241,6.61,2.49,0.6014,0.7356,0.5163,0.4267,5.902,3.687,20.667
236871040,US Open  - Round Of 32,2026-09-05T21:40:00Z,WTA,264238,Yuliia Starodubtseva,Hard,3,0.1425,0.13039505999843326,0.0618,77,86.7,85.5,88.1,65.8,78.8,False,7.541,13.126,0.344,1.915,68.614,1.6,1.94,0.6359,0.6208,0.4813,0.4392,9.969,5.044,20.667
236870280,US Open  - Round Of 32,2026-09-05T23:00:00Z,WTA,77052,Naomi Osaka,Hard,3,0.6185,0.624587450234413,0.659,12,98.1,97.7,98.4,96.9,65.7,False,12.939,11.171,1.506,0.974,78.374,7.46,3.25,0.62,0.6971,0.4831,0.4239,8.752,5.032,24.11
236870280,US Open  - Round Of 32,2026-09-05T23:00:00Z,WTA,77917,Elise Mertens,Hard,3,0.3815,0.375412549765587,0.341,20,96.7,96.9,95.6,91.6,81.0,False,11.171,12.939,0.974,1.506,79.301,5.15,5.4,0.6189,0.6778,0.4582,0.441,10.083,5.515,24.11
236871020,US Open  - Round Of 32,2026-09-05T23:00:00Z,WTA,94076,Alexandra Eala,Hard,3,0.5338,0.5309474767519076,0.5148,22,96.3,96.0,96.7,61.7,87.8,False,12.143,11.965,1.269,1.222,80.176,1.14,3.52,0.6615,0.6142,0.4741,0.4496,11.15,5.821,24.108
236871020,US Open  - Round Of 32,2026-09-05T23:00:00Z,WTA,321719,Iva Jovic,Hard,3,0.4662,0.46905252324809243,0.4852,30,94.9,94.8,95.3,72.7,92.7,False,11.965,12.143,1.222,1.269,80.379,2.83,2.26,0.6853,0.6295,0.5094,0.4574,11.262,5.841,24.108
236877640,US Open  - Round Of 16,2026-09-06T15:00:00Z,WTA,79750,Anastasia Potapova,Hard,3,0.3409,0.3261193217249216,0.2425,29,95.1,95.5,94.6,57.3,88.3,False,10.116,13.091,0.79,1.653,77.358,2.7,4.63,0.6231,0.6083,0.439,0.4501,12.077,5.822,23.207
236877640,US Open  - Round Of 16,2026-09-06T15:00:00Z,WTA,231240,Mirra Andreeva,Hard,3,0.6591,0.6738806782750784,0.7575,11,98.3,98.1,98.3,89.6,94.6,False,13.091,10.116,1.653,0.79,77.129,3.45,4.5,0.6445,0.6728,0.4647,0.4673,10.252,5.465,23.207
236874610,US Open  - Round Of 16,2026-09-06T15:30:00Z,WTA,79542,Aryna Sabalenka,Hard,3,0.7897,0.803428078868905,0.881,1,100.0,100.0,100.0,95.8,86.5,False,13.302,8.906,1.833,0.499,69.024,5.62,2.12,0.6693,0.6899,0.5562,0.4479,5.811,3.718,22.208
236874610,US Open  - Round Of 16,2026-09-06T15:30:00Z,WTA,81334,Taylor Townsend,Hard,3,0.2103,0.196571921131095,0.119,28,95.3,94.6,96.2,95.6,57.7,False,8.906,13.302,0.499,1.833,72.999,5.23,2.22,0.685,0.6892,0.4987,0.4166,9.286,5.098,22.208
